#group,false,false,true,true,true,true,false,false
#datatype,string,long,string,string,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string
#default,_result,,,,,,,
,result,table,_field,_measurement,_start,_stop,_time,_value
,,0,private_identity,ATCamera.logevent_summaryState,2021-06-23T17:30:13.630188532Z,2021-07-23T17:30:13.630188532Z,2021-06-25T18:53:32.435Z,ATCamera
,,0,private_identity,ATCamera.logevent_summaryState,2021-06-23T17:30:13.630188532Z,2021-07-23T17:30:13.630188532Z,2021-06-25T18:53:45.52Z,ATCamera
,,0,private_identity,ATCamera.logevent_summaryState,2021-06-23T17:30:13.630188532Z,2021-07-23T17:30:13.630188532Z,2021-06-25T18:53:56.586Z,ATCamera
,,0,private_identity,ATCamera.logevent_summaryState,2021-06-23T17:30:13.630188532Z,2021-07-23T17:30:13.630188532Z,2021-06-25T18:53:56.597Z,ATCamera
,,0,private_identity,ATCamera.logevent_summaryState,2021-06-23T17:30:13.630188532Z,2021-07-23T17:30:13.630188532Z,2021-06-25T18:56:18.9Z,ATCamera
,,0,private_identity,ATCamera.logevent_summaryState,2021-06-23T17:30:13.630188532Z,2021-07-23T17:30:13.630188532Z,2021-06-25T18:56:18.911Z,ATCamera
,,0,private_identity,ATCamera.logevent_summaryState,2021-06-23T17:30:13.630188532Z,2021-07-23T17:30:13.630188532Z,2021-06-25T18:56:36.067Z,ATCamera
,,0,private_identity,ATCamera.logevent_summaryState,2021-06-23T17:30:13.630188532Z,2021-07-23T17:30:13.630188532Z,2021-06-25T18:56:36.078Z,ATCamera
,,0,private_identity,ATCamera.logevent_summaryState,2021-06-23T17:30:13.630188532Z,2021-07-23T17:30:13.630188532Z,2021-06-25T20:17:23.089Z,ATCamera
,,0,private_identity,ATCamera.logevent_summaryState,2021-06-23T17:30:13.630188532Z,2021-07-23T17:30:13.630188532Z,2021-06-25T20:17:23.1Z,ATCamera
,,0,private_identity,ATCamera.logevent_summaryState,2021-06-23T17:30:13.630188532Z,2021-07-23T17:30:13.630188532Z,2021-06-25T20:17:36.175Z,ATCamera
,,0,private_identity,ATCamera.logevent_summaryState,2021-06-23T17:30:13.630188532Z,2021-07-23T17:30:13.630188532Z,2021-06-25T20:17:36.186Z,ATCamera
,,0,private_identity,ATCamera.logevent_summaryState,2021-06-23T17:30:13.630188532Z,2021-07-23T17:30:13.630188532Z,2021-06-25T21:42:12.544Z,ATCamera
,,0,private_identity,ATCamera.logevent_summaryState,2021-06-23T17:30:13.630188532Z,2021-07-23T17:30:13.630188532Z,2021-06-25T21:43:29.68Z,ATCamera
,,0,private_identity,ATCamera.logevent_summaryState,2021-06-23T17:30:13.630188532Z,2021-07-23T17:30:13.630188532Z,2021-06-25T21:43:29.762Z,ATCamera
,,0,private_identity,ATCamera.logevent_summaryState,2021-06-23T17:30:13.630188532Z,2021-07-23T17:30:13.630188532Z,2021-06-25T21:43:29.775Z,ATCamera
,,0,private_identity,ATCamera.logevent_summaryState,2021-06-23T17:30:13.630188532Z,2021-07-23T17:30:13.630188532Z,2021-06-25T21:53:10.762Z,ATCamera
,,0,private_identity,ATCamera.logevent_summaryState,2021-06-23T17:30:13.630188532Z,2021-07-23T17:30:13.630188532Z,2021-06-25T21:53:10.775Z,ATCamera
,,0,private_identity,ATCamera.logevent_summaryState,2021-06-23T17:30:13.630188532Z,2021-07-23T17:30:13.630188532Z,2021-06-28T15:44:06.769Z,ATCamera
,,0,private_identity,ATCamera.logevent_summaryState,2021-06-23T17:30:13.630188532Z,2021-07-23T17:30:13.630188532Z,2021-06-28T15:44:06.781Z,ATCamera
,,0,private_identity,ATCamera.logevent_summaryState,2021-06-23T17:30:13.630188532Z,2021-07-23T17:30:13.630188532Z,2021-06-28T15:46:20.478Z,ATCamera
,,0,private_identity,ATCamera.logevent_summaryState,2021-06-23T17:30:13.630188532Z,2021-07-23T17:30:13.630188532Z,2021-06-28T15:46:20.49Z,ATCamera
,,0,private_identity,ATCamera.logevent_summaryState,2021-06-23T17:30:13.630188532Z,2021-07-23T17:30:13.630188532Z,2021-06-28T18:34:07.403Z,ATCamera
,,0,private_identity,ATCamera.logevent_summaryState,2021-06-23T17:30:13.630188532Z,2021-07-23T17:30:13.630188532Z,2021-06-28T18:34:07.416Z,ATCamera
,,0,private_identity,ATCamera.logevent_summaryState,2021-06-23T17:30:13.630188532Z,2021-07-23T17:30:13.630188532Z,2021-06-29T06:13:12.031Z,ATCamera
,,0,private_identity,ATCamera.logevent_summaryState,2021-06-23T17:30:13.630188532Z,2021-07-23T17:30:13.630188532Z,2021-06-29T06:13:12.063Z,ATCamera
,,0,private_identity,ATCamera.logevent_summaryState,2021-06-23T17:30:13.630188532Z,2021-07-23T17:30:13.630188532Z,2021-06-29T21:08:30.749Z,ATCamera
,,0,private_identity,ATCamera.logevent_summaryState,2021-06-23T17:30:13.630188532Z,2021-07-23T17:30:13.630188532Z,2021-07-01T22:24:25.229Z,ATCamera
,,0,private_identity,ATCamera.logevent_summaryState,2021-06-23T17:30:13.630188532Z,2021-07-23T17:30:13.630188532Z,2021-07-01T22:31:36.579Z,ATCamera
,,0,private_identity,ATCamera.logevent_summaryState,2021-06-23T17:30:13.630188532Z,2021-07-23T17:30:13.630188532Z,2021-07-01T22:31:39.468Z,ATCamera
,,0,private_identity,ATCamera.logevent_summaryState,2021-06-23T17:30:13.630188532Z,2021-07-23T17:30:13.630188532Z,2021-07-01T22:31:40.32Z,ATCamera
