#group,false,false,true,true,true,true,false,false
#datatype,string,long,string,string,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string
#default,_result,,,,,,,
,result,table,_field,_measurement,_start,_stop,_time,_value
,,0,private_identity,ATDome.logevent_summaryState,2021-06-23T17:31:05.006629482Z,2021-07-23T17:31:05.006629482Z,2021-06-29T18:11:53.808Z,ATDome
,,0,private_identity,ATDome.logevent_summaryState,2021-06-23T17:31:05.006629482Z,2021-07-23T17:31:05.006629482Z,2021-06-29T18:11:53.817Z,ATDome
,,0,private_identity,ATDome.logevent_summaryState,2021-06-23T17:31:05.006629482Z,2021-07-23T17:31:05.006629482Z,2021-06-29T20:52:05.763Z,ATDome
,,0,private_identity,ATDome.logevent_summaryState,2021-06-23T17:31:05.006629482Z,2021-07-23T17:31:05.006629482Z,2021-06-29T20:52:05.969Z,ATDome
,,0,private_identity,ATDome.logevent_summaryState,2021-06-23T17:31:05.006629482Z,2021-07-23T17:31:05.006629482Z,2021-06-29T21:05:23.602Z,ATDome
,,0,private_identity,ATDome.logevent_summaryState,2021-06-23T17:31:05.006629482Z,2021-07-23T17:31:05.006629482Z,2021-06-29T22:35:37.256Z,ATDome
,,0,private_identity,ATDome.logevent_summaryState,2021-06-23T17:31:05.006629482Z,2021-07-23T17:31:05.006629482Z,2021-07-06T18:53:27.267Z,ATDome
,,0,private_identity,ATDome.logevent_summaryState,2021-06-23T17:31:05.006629482Z,2021-07-23T17:31:05.006629482Z,2021-07-06T18:53:27.273Z,ATDome
,,0,private_identity,ATDome.logevent_summaryState,2021-06-23T17:31:05.006629482Z,2021-07-23T17:31:05.006629482Z,2021-07-07T06:53:24.432Z,ATDome
,,0,private_identity,ATDome.logevent_summaryState,2021-06-23T17:31:05.006629482Z,2021-07-23T17:31:05.006629482Z,2021-07-07T06:53:24.644Z,ATDome
,,0,private_identity,ATDome.logevent_summaryState,2021-06-23T17:31:05.006629482Z,2021-07-23T17:31:05.006629482Z,2021-07-07T18:18:49.493Z,ATDome
,,0,private_identity,ATDome.logevent_summaryState,2021-06-23T17:31:05.006629482Z,2021-07-23T17:31:05.006629482Z,2021-07-07T18:18:49.498Z,ATDome
,,0,private_identity,ATDome.logevent_summaryState,2021-06-23T17:31:05.006629482Z,2021-07-23T17:31:05.006629482Z,2021-07-07T20:58:35.665Z,ATDome
,,0,private_identity,ATDome.logevent_summaryState,2021-06-23T17:31:05.006629482Z,2021-07-23T17:31:05.006629482Z,2021-07-07T20:58:35.875Z,ATDome
,,0,private_identity,ATDome.logevent_summaryState,2021-06-23T17:31:05.006629482Z,2021-07-23T17:31:05.006629482Z,2021-07-07T21:35:07.135Z,ATDome
,,0,private_identity,ATDome.logevent_summaryState,2021-06-23T17:31:05.006629482Z,2021-07-23T17:31:05.006629482Z,2021-07-07T21:35:07.139Z,ATDome
,,0,private_identity,ATDome.logevent_summaryState,2021-06-23T17:31:05.006629482Z,2021-07-23T17:31:05.006629482Z,2021-07-07T21:54:11.358Z,ATDome
,,0,private_identity,ATDome.logevent_summaryState,2021-06-23T17:31:05.006629482Z,2021-07-23T17:31:05.006629482Z,2021-07-07T21:54:11.565Z,ATDome
,,0,private_identity,ATDome.logevent_summaryState,2021-06-23T17:31:05.006629482Z,2021-07-23T17:31:05.006629482Z,2021-07-07T21:55:31.868Z,ATDome
,,0,private_identity,ATDome.logevent_summaryState,2021-06-23T17:31:05.006629482Z,2021-07-23T17:31:05.006629482Z,2021-07-07T21:55:31.872Z,ATDome
,,0,private_identity,ATDome.logevent_summaryState,2021-06-23T17:31:05.006629482Z,2021-07-23T17:31:05.006629482Z,2021-07-07T21:58:01.63Z,ATDome
,,0,private_identity,ATDome.logevent_summaryState,2021-06-23T17:31:05.006629482Z,2021-07-23T17:31:05.006629482Z,2021-07-07T21:58:01.838Z,ATDome
,,0,private_identity,ATDome.logevent_summaryState,2021-06-23T17:31:05.006629482Z,2021-07-23T17:31:05.006629482Z,2021-07-07T21:58:09.943Z,ATDome
,,0,private_identity,ATDome.logevent_summaryState,2021-06-23T17:31:05.006629482Z,2021-07-23T17:31:05.006629482Z,2021-07-07T21:58:09.947Z,ATDome
,,0,private_identity,ATDome.logevent_summaryState,2021-06-23T17:31:05.006629482Z,2021-07-23T17:31:05.006629482Z,2021-07-08T10:10:07.57Z,ATDome
,,0,private_identity,ATDome.logevent_summaryState,2021-06-23T17:31:05.006629482Z,2021-07-23T17:31:05.006629482Z,2021-07-08T10:10:07.782Z,ATDome
,,0,private_identity,ATDome.logevent_summaryState,2021-06-23T17:31:05.006629482Z,2021-07-23T17:31:05.006629482Z,2021-07-08T21:38:01.737Z,ATDome
,,0,private_identity,ATDome.logevent_summaryState,2021-06-23T17:31:05.006629482Z,2021-07-23T17:31:05.006629482Z,2021-07-08T21:38:01.742Z,ATDome
,,0,private_identity,ATDome.logevent_summaryState,2021-06-23T17:31:05.006629482Z,2021-07-23T17:31:05.006629482Z,2021-07-08T23:17:33.728Z,ATDome
,,0,private_identity,ATDome.logevent_summaryState,2021-06-23T17:31:05.006629482Z,2021-07-23T17:31:05.006629482Z,2021-07-08T23:17:33.932Z,ATDome
,,0,private_identity,ATDome.logevent_summaryState,2021-06-23T17:31:05.006629482Z,2021-07-23T17:31:05.006629482Z,2021-07-09T00:30:01.855Z,ATDome
,,0,private_identity,ATDome.logevent_summaryState,2021-06-23T17:31:05.006629482Z,2021-07-23T17:31:05.006629482Z,2021-07-09T00:30:01.859Z,ATDome
,,0,private_identity,ATDome.logevent_summaryState,2021-06-23T17:31:05.006629482Z,2021-07-23T17:31:05.006629482Z,2021-07-09T07:41:59.518Z,ATDome
,,0,private_identity,ATDome.logevent_summaryState,2021-06-23T17:31:05.006629482Z,2021-07-23T17:31:05.006629482Z,2021-07-09T07:41:59.728Z,ATDome
