#group,false,false,true,true,true,true,false,false
#datatype,string,long,string,string,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string
#default,_result,,,,,,,
,result,table,_field,_measurement,_start,_stop,_time,_value
,,0,private_identity,ATMCS.logevent_summaryState,2021-06-23T17:33:49.949423703Z,2021-07-23T17:33:49.949423703Z,2021-06-25T15:37:30.262Z,ATMCS
,,0,private_identity,ATMCS.logevent_summaryState,2021-06-23T17:33:49.949423703Z,2021-07-23T17:33:49.949423703Z,2021-06-25T15:38:34.813Z,ATMCS
,,0,private_identity,ATMCS.logevent_summaryState,2021-06-23T17:33:49.949423703Z,2021-07-23T17:33:49.949423703Z,2021-06-25T15:40:00.031Z,ATMCS
,,0,private_identity,ATMCS.logevent_summaryState,2021-06-23T17:33:49.949423703Z,2021-07-23T17:33:49.949423703Z,2021-06-25T15:40:03.586Z,ATMCS
,,0,private_identity,ATMCS.logevent_summaryState,2021-06-23T17:33:49.949423703Z,2021-07-23T17:33:49.949423703Z,2021-06-25T15:49:06.647Z,ATMCS
,,0,private_identity,ATMCS.logevent_summaryState,2021-06-23T17:33:49.949423703Z,2021-07-23T17:33:49.949423703Z,2021-06-25T15:49:08.183Z,ATMCS
,,0,private_identity,ATMCS.logevent_summaryState,2021-06-23T17:33:49.949423703Z,2021-07-23T17:33:49.949423703Z,2021-06-25T15:50:33.252Z,ATMCS
,,0,private_identity,ATMCS.logevent_summaryState,2021-06-23T17:33:49.949423703Z,2021-07-23T17:33:49.949423703Z,2021-06-25T15:50:35.196Z,ATMCS
,,0,private_identity,ATMCS.logevent_summaryState,2021-06-23T17:33:49.949423703Z,2021-07-23T17:33:49.949423703Z,2021-06-29T18:11:53.15Z,ATMCS
,,0,private_identity,ATMCS.logevent_summaryState,2021-06-23T17:33:49.949423703Z,2021-07-23T17:33:49.949423703Z,2021-06-29T18:11:53.459Z,ATMCS
,,0,private_identity,ATMCS.logevent_summaryState,2021-06-23T17:33:49.949423703Z,2021-07-23T17:33:49.949423703Z,2021-06-29T19:00:25.144Z,ATMCS
,,0,private_identity,ATMCS.logevent_summaryState,2021-06-23T17:33:49.949423703Z,2021-07-23T17:33:49.949423703Z,2021-06-29T19:00:41.94Z,ATMCS
