#group,false,false,true,true,true,true,false,false
#datatype,string,long,string,string,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string
#default,_result,,,,,,,
,result,table,_field,_measurement,_start,_stop,_time,_value
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-06-25T15:37:07.414Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-06-25T15:37:10.974Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-06-25T21:59:02.42Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-06-25T21:59:03.426Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-06-29T18:11:50.578Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-06-29T18:11:52.592Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-06-29T19:54:55.619Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-06-29T19:54:56.528Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-06-29T21:05:23.807Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-06-30T01:21:47.681Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-01T18:38:02.369Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-01T18:38:06.017Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-01T18:57:40.552Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-01T18:57:42.364Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-06T18:53:23.908Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-06T18:53:25.921Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-06T23:03:36.784Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-06T23:05:43.912Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-06T23:05:48.035Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-06T23:05:52.773Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-07T06:53:24.932Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-07T06:53:25.638Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-07T18:18:46.241Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-07T18:18:48.255Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-07T20:58:36.187Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-07T20:58:36.792Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-07T21:35:04.14Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-07T21:35:06.157Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-07T21:54:11.898Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-07T21:54:12.602Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-07T21:55:28.647Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-07T21:55:30.761Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-07T21:58:02.252Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-07T21:58:03.058Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-07T21:58:06.678Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-07T21:58:08.691Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-08T10:10:08.109Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-08T10:10:08.714Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-08T21:37:58.517Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-08T21:38:00.532Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-08T23:17:34.521Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-08T23:17:35.328Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-08T23:55:53.834Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-08T23:55:55.958Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-08T23:58:25.054Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-08T23:58:33.808Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-08T23:58:38.536Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-08T23:58:39.747Z,ATPneumatics
,,0,private_identity,ATPneumatics.logevent_summaryState,2021-06-23T17:34:29.892789878Z,2021-07-23T17:34:29.892789878Z,2021-07-08T23:59:42.955Z,ATPneumatics
