#group,false,false,true,true,true,true,false,false
#datatype,string,long,string,string,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string
#default,_result,,,,,,,
,result,table,_field,_measurement,_start,_stop,_time,_value
,,0,private_identity,ATPtg.logevent_summaryState,2021-06-23T17:35:33.798994634Z,2021-07-23T17:35:33.798994634Z,2021-06-29T18:11:48.544Z,ATPtg
,,0,private_identity,ATPtg.logevent_summaryState,2021-06-23T17:35:33.798994634Z,2021-07-23T17:35:33.798994634Z,2021-06-29T18:11:48.556Z,ATPtg
,,0,private_identity,ATPtg.logevent_summaryState,2021-06-23T17:35:33.798994634Z,2021-07-23T17:35:33.798994634Z,2021-06-29T19:54:55.017Z,ATPtg
,,0,private_identity,ATPtg.logevent_summaryState,2021-06-23T17:35:33.798994634Z,2021-07-23T17:35:33.798994634Z,2021-06-29T19:54:55.106Z,ATPtg
,,0,private_identity,ATPtg.logevent_summaryState,2021-06-23T17:35:33.798994634Z,2021-07-23T17:35:33.798994634Z,2021-06-29T22:37:15.753Z,ATPtg
,,0,private_identity,ATPtg.logevent_summaryState,2021-06-23T17:35:33.798994634Z,2021-07-23T17:35:33.798994634Z,2021-07-06T18:53:21.998Z,ATPtg
,,0,private_identity,ATPtg.logevent_summaryState,2021-06-23T17:35:33.798994634Z,2021-07-23T17:35:33.798994634Z,2021-07-06T18:53:22.01Z,ATPtg
,,0,private_identity,ATPtg.logevent_summaryState,2021-06-23T17:35:33.798994634Z,2021-07-23T17:35:33.798994634Z,2021-07-07T01:59:57.459Z,ATPtg
,,0,private_identity,ATPtg.logevent_summaryState,2021-06-23T17:35:33.798994634Z,2021-07-23T17:35:33.798994634Z,2021-07-07T02:05:28.35Z,ATPtg
,,0,private_identity,ATPtg.logevent_summaryState,2021-06-23T17:35:33.798994634Z,2021-07-23T17:35:33.798994634Z,2021-07-07T02:05:43.256Z,ATPtg
,,0,private_identity,ATPtg.logevent_summaryState,2021-06-23T17:35:33.798994634Z,2021-07-23T17:35:33.798994634Z,2021-07-07T02:05:43.268Z,ATPtg
,,0,private_identity,ATPtg.logevent_summaryState,2021-06-23T17:35:33.798994634Z,2021-07-23T17:35:33.798994634Z,2021-07-07T06:33:43.538Z,ATPtg
,,0,private_identity,ATPtg.logevent_summaryState,2021-06-23T17:35:33.798994634Z,2021-07-23T17:35:33.798994634Z,2021-07-07T06:36:13.257Z,ATPtg
,,0,private_identity,ATPtg.logevent_summaryState,2021-06-23T17:35:33.798994634Z,2021-07-23T17:35:33.798994634Z,2021-07-07T06:36:25.489Z,ATPtg
,,0,private_identity,ATPtg.logevent_summaryState,2021-06-23T17:35:33.798994634Z,2021-07-23T17:35:33.798994634Z,2021-07-07T06:36:25.502Z,ATPtg
,,0,private_identity,ATPtg.logevent_summaryState,2021-06-23T17:35:33.798994634Z,2021-07-23T17:35:33.798994634Z,2021-07-07T06:53:24.437Z,ATPtg
,,0,private_identity,ATPtg.logevent_summaryState,2021-06-23T17:35:33.798994634Z,2021-07-23T17:35:33.798994634Z,2021-07-07T06:53:24.541Z,ATPtg
,,0,private_identity,ATPtg.logevent_summaryState,2021-06-23T17:35:33.798994634Z,2021-07-23T17:35:33.798994634Z,2021-07-07T18:18:44.232Z,ATPtg
,,0,private_identity,ATPtg.logevent_summaryState,2021-06-23T17:35:33.798994634Z,2021-07-23T17:35:33.798994634Z,2021-07-07T18:18:44.244Z,ATPtg
,,0,private_identity,ATPtg.logevent_summaryState,2021-06-23T17:35:33.798994634Z,2021-07-23T17:35:33.798994634Z,2021-07-07T20:47:44.158Z,ATPtg
,,0,private_identity,ATPtg.logevent_summaryState,2021-06-23T17:35:33.798994634Z,2021-07-23T17:35:33.798994634Z,2021-07-07T20:50:01.402Z,ATPtg
,,0,private_identity,ATPtg.logevent_summaryState,2021-06-23T17:35:33.798994634Z,2021-07-23T17:35:33.798994634Z,2021-07-07T20:50:32.35Z,ATPtg
